"1a","./Everything 1a.mp3","./Everything 1a.csv","https://www.youtube.com/watch?v=i3tYa2N9fm4","Constanzo - Everything at once. (1a)",209.629
"1b","./Everything 1b.mp3","./Everything 1b.csv","https://www.youtube.com/watch?v=1FKE3D7swWY","Constanzo - Everything at once. (1b)",165.887
"1c","./Everything 1c.mp3","./Everything 1c.csv","https://www.youtube.com/watch?v=bQf1lFEdr9w","Constanzo - Everything at once. (1c)",162.456
"andreae1","./andreae1.mp3","./andreae1.csv","#","Andreae - Electronics improvisation",296.796
"andreae2","./andreae2.mp3","./andreae2.csv","#","Andreae - Tenor Sax improvisation",207.874
"angie","./angie.mp3","./angie.csv","#","Guyton - Amplified Canvas improvisation",347.055
"anton","./anton.mp3","./anton.csv","#","Hunter - Guitar + Pedals improvisation",224.760
"bourne1","./bourne1.mp3","./bourne1.csv","#","Bourne - Piano improvisation 1",246.746
"bourne2","./bourne2.mp3","./bourne2.csv","#","Bourne - Piano improvisation 2",197.572
"cath1","./cath1.mp3","./cath1.csv","#","Roberts - Baritone Sax improvisation 1",456.706
"david1","./david1.mp3","./david1.csv","#","Birchall - Guitar + Objects improvisation 1",243.159
"david2","./david2.mp3","./david2.csv","https://www.youtube.com/watch?v=msixFDfMVZw","Birchall - Guitar + Objects improvisation 2",155.530
"feldman","./feldman.mp3","./feldman.csv","https://www.youtube.com/watch?v=bQf1lFEdr9w","Feldman - Triadic Memories",1553.914
"fell1","./fell1.mp3","./fell1.csv","#","Fell - Double Bass improvisation 1",383.674
"gemma1","./gemma1.mp3","./gemma1.csv","#","Bass - Violin improvisation",186.561
"greta1","./greta1.mp3","./greta1.csv","#","Buitkute - I was thinking betula pendula",378.759
"jay1","./jay1.mp3","./jay1.csv","https://www.youtube.com/watch?v=DDGbSsHxg80","Gilligan - Improvisation Nov. 28, 2015",377.364
"jorge1","./jorge1.mp3","./jorge1.csv","#","Boehringer - Electronics improvisation 1",244.577
"jorge2","./jorge2.mp3","./jorge2.csv","#","Boehringer - Electronics improvisation 2",286.411
"keith1","./keith1.mp3","./keith1.csv","#","Jafrate - Chimes",356.800
"ninh1","./ninh1.mp3","./ninh1.csv","#","Ninh - Percussion improvisation 1",417.417
"otto1","./otto1.mp3","./otto1.csv","https://www.youtube.com/watch?v=DfLe41_Ed9g","Willberg - all weather",206.623
"pa1","./PA 1.mp3","./PA 1.csv","#","Tremblay - Bass + Laptop improvisation (1)",363.408
"pa2","./PA 2.mp3","./PA 2.csv","#","Tremblay - Bass + Laptop improvisation (2)",228.048
"pete1","./pete1.mp3","./pete1.csv","#","Furniss - the outside-in side / 1",365.560
"pete2","./pete2.mp3","./pete2.csv","#","Furniss - the outside-in side / 2",332.720
"rod1","./rod1.mp3","./rod1.csv","https://vimeo.com/148621891","Constanzo - Light Vomit",653.903
"sam1","./sam1.mp3","./sam1.csv","#","Thursfield - number8",330.955
"sharkey1","./sharkey1.mp3","./sharkey1.csv","#","Sharkey - Guitar + Pedals improvisation",261.344
"simon1","./simon1.mp3","./simon1.csv","#","Prince - 15.11.2015",424.882
"thf1","./thf1.mp3","./thf1.csv","https://www.youtube.com/watch?v=qTvBkYGRqXk","THF Drenching - Invention of Duct Tape",399.649
"thf2","./thf2.mp3","./thf2.csv","https://www.youtube.com/watch?v=gxVBVGqByEw","THF Drenching - Skimming of Black Milk",339.464
"tullis1","./tullis1.mp3","./tullis1.csv","#","Rennie - Trombone improvisation 1",331.331
"tullis2","./tullis2.mp3","./tullis2.csv","#","Rennie - Trombone improvisation 2",277.569
"ucb","./ucb.mp3","./ucb.csv","https://youtu.be/1otcGrYVSag?t=22m55s","ASSSSCAT! - Buzzards",156.709
